,0
0,0.0
1,0.0
2,0.0
3,2.459999999260276e-07
4,-4.5700000139703434e-07
5,6.389999995803919e-07
6,-6.489999995196172e-07
7,6.009999999889715e-07
8,-6.060000004026733e-07
9,5.829999998319124e-07
10,-1.0099999991908248e-07
11,8.200000012337227e-08
12,9.199999984055296e-08
13,7.300000026688735e-08
14,1.1499999996722465e-07
15,-2.7099999999613544e-07
16,-4.439999999883426e-07
17,4.940000001285583e-07
18,2.1500000002561137e-07
19,-1.2799999993262645e-07
20,-5.510000000152893e-07
21,4.229999999716405e-07
22,-2.6899999999718816e-07
23,3.339999999907306e-07
24,-3.9500000001413405e-07
25,-8.999999998038355e-08
26,1.6000000019333882e-08
27,2.719999999956091e-07
28,-5.339999999964817e-07
29,6.980000000073039e-07
30,-3.890000000034144e-07
31,1.3899999999622548e-07
32,2.490000000007764e-07
33,-2.040000000036457e-07
34,2.649999999992936e-07
35,0.0
36,-6.329999999998837e-07
37,4.5300000000095264e-07
38,4.210000000004488e-07
39,-3.0199999999716565e-07
40,2.6099999999792955e-07
41,-5.439999999981571e-07
42,-1.6100000000199288e-07
43,3.560000000017022e-07
44,1.4800000000189661e-07
45,-1.110000000005551e-07
46,2.3800000000049476e-07
47,8.999999999599606e-09
48,8.49999999994952e-08
49,-1.6999999999985776e-07
50,-1.1000000000281618e-08
51,-3.79999999999478e-08
52,-2.999999999999531e-07
53,-1.619999999997318e-07
54,8.360000000001526e-07
55,-1.9999999999881224e-08
56,4.600000000007376e-08
57,1.2000000000188943e-08
58,-4.1099999999985766e-07
59,3.5300000000002864e-07
60,-3.300000000019433e-08
61,-2.57000000000035e-07
62,8.700000000017721e-08
63,3.9100000000008486e-07
64,-7.499999999987985e-08
65,-1.5300000000002378e-07
66,-5.890000000000582e-07
67,7.590000000000244e-07
68,-7.720000000000123e-07
69,6.469999999998872e-07
70,-5.599999999999811e-07
71,4.309999999999557e-07
72,-6.699999999997073e-08
73,-1.350000000000114e-07
74,3.380000000000093e-07
75,-5.399999999999914e-07
76,1.4799999999997216e-07
77,5.979999999999831e-07
78,-1.8299999999998114e-07
79,-2.7799999999998616e-07
80,4.109999999999932e-07
81,-2.199999999999403e-08
82,-6.600000000000106e-07
83,5.039999999999938e-07
84,-3.5699999999999675e-07
85,5.910000000000084e-07
86,-4.801999999999958e-07
87,2.661000000000075e-07
88,-3.1000000000135737e-09
89,-3.67199999999992e-07
90,1.765999999999942e-07
91,-2.9090000000000767e-07
92,1.534000000000111e-07
93,5.885000000000029e-07
94,1.4399999999997694e-08
95,-6.430000000000005e-07
96,6.188000000000016e-07
97,-5.2099999999999044e-08
98,1.981000000000007e-07
99,-5.569000000000014e-07
100,-3.8729999999999543e-07
101,7.788000000000035e-07
102,1.009999999999843e-08
103,1.6849999999999678e-07
104,-6.763000000000023e-07
105,4.092000000000028e-07
106,-4.4139999999999886e-07
107,6.399000000000004e-07
108,-2.1629999999999995e-07
109,-1.3899999999999986e-07
110,-6.329999999999989e-08
111,1.0900000000000184e-08
112,8.349999999999844e-08
113,1.5449999999999996e-07
114,2.241000000000001e-07
115,-7.079000000000005e-07
116,3.003999999999997e-07
117,3.661999999999983e-07
118,-5.694000000000017e-07
119,4.3728999999999933e-07
120,-5.00470000000001e-07
121,5.054300000000007e-07
122,-4.344199999999993e-07
123,5.707199999999992e-07
124,-3.7116000000000137e-07
125,-3.6675000000000034e-07
126,6.376199999999993e-07
127,-3.0691000000000025e-07
128,-3.03240000000001e-07
129,7.003999999999993e-07
130,-2.4667000000000013e-07
131,-2.437100000000006e-07
132,-2.4077000000000075e-07
133,7.621400000000001e-07
134,-1.879900000000003e-07
135,-1.8570999999999962e-07
136,-1.834499999999999e-07
137,-1.8121999999999977e-07
138,8.210000000000003e-07
139,-1.3260999999999965e-07
140,-1.309800000000004e-07
141,-1.2937e-07
142,-1.2778000000000016e-07
143,-1.2620000000000016e-07
144,-1.2463999999999988e-07
145,-1.230900000000003e-07
146,8.784400000000002e-07
147,-8.002999999999964e-08
148,-7.902999999999999e-08
149,-7.803999999999976e-08
150,-7.705999999999982e-08
151,-7.609000000000015e-08
152,-7.51299999999999e-08
153,-7.417999999999994e-08
154,-7.323999999999983e-08
155,-7.229999999999971e-08
156,-7.138000000000015e-08
157,-7.047000000000002e-08
158,-6.955999999999989e-08
159,-6.866999999999989e-08
160,9.322200000000001e-07
161,-3.3450999999999894e-08
162,-3.3016999999999984e-08
163,-3.2585999999999945e-08
164,-3.216099999999986e-08
165,-3.173900000000007e-08
166,-3.1321999999999994e-08
167,-3.0908e-08
168,-3.0498999999999934e-08
169,-3.009399999999998e-08
170,-2.969299999999992e-08
171,-2.9295999999999973e-08
172,-2.8902999999999925e-08
173,-2.8513999999999987e-08
174,-2.8128999999999947e-08
175,-2.7748000000000018e-08
176,-2.736999999999996e-08
177,-2.699700000000004e-08
178,-2.662699999999999e-08
179,-2.626099999999984e-08
180,-2.5897999999999985e-08
181,-2.5539000000000028e-08
182,-2.518399999999997e-08
183,-2.4831999999999994e-08
184,-2.448299999999989e-08
185,-2.4138999999999923e-08
186,-2.379700000000001e-08
187,-2.3459e-08
188,-2.3124999999999884e-08
189,-2.2793000000000037e-08
190,-2.2464999999999877e-08
191,-2.214100000000004e-08
192,-2.1819000000000045e-08
193,-2.150099999999995e-08
194,-2.1185999999999936e-08
195,-2.0874000000000005e-08
196,-2.0565999999999974e-08
197,-2.0259999999999997e-08
198,-1.9956999999999892e-08
199,-1.9657999999999897e-08
200,-1.9360999999999957e-08
201,9.80932e-07
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
