t,x,v
0,0,1
0.01,0.01005,1.0202
0.02,0.020303,1.040808
0.03,0.030763,1.061832
0.04,0.041435,1.083281
0.05,0.052322,1.105164
0.06,0.063428,1.127488
0.07,0.07476,1.150263
0.08,0.08632,1.173499
0.09,0.098113,1.197203
0.1,0.110145,1.221387
0.11,0.12242,1.246059
0.12,0.134943,1.271229
0.13,0.147719,1.296908
0.14,0.160753,1.323105
0.15,0.17405,1.349832
0.16,0.187616,1.377099
0.17,0.201456,1.404916
0.18,0.215575,1.433296
0.19,0.22998,1.462248
0.2,0.244675,1.491786
0.21,0.259668,1.52192
0.22,0.274963,1.552662
0.23,0.290567,1.584026
0.24,0.306487,1.616023
0.25,0.322728,1.648667
0.26,0.339297,1.68197
0.27,0.356201,1.715946
0.28,0.373446,1.750608
0.29,0.39104,1.78597
0.3,0.408989,1.822047
0.31,0.4273,1.858852
0.32,0.445982,1.896401
0.33,0.465041,1.934708
0.34,0.484484,1.97379
0.35,0.504321,2.01366
0.36,0.524558,2.054336
0.37,0.545204,2.095834
0.38,0.566267,2.138169
0.39,0.587756,2.181361
0.4,0.609679,2.225424
0.41,0.632044,2.270378
0.42,0.654862,2.316239
0.43,0.67814,2.363027
0.44,0.701888,2.41076
0.45,0.726116,2.459458
0.46,0.750834,2.509139
0.47,0.776051,2.559823
0.48,0.801777,2.611532
0.49,0.828023,2.664285
0.5,0.854799,2.718103
0.51,0.882116,2.773009
0.52,0.909985,2.829024
0.53,0.938416,2.88617
0.54,0.967422,2.944471
0.55,0.997014,3.003949
0.56,1.027204,3.064629
0.57,1.058003,3.126534
0.58,1.089425,3.18969
0.59,1.121481,3.254122
0.6,1.154185,3.319855
0.61,1.18755,3.386916
0.62,1.221588,3.455332
0.63,1.256315,3.52513
0.64,1.291742,3.596337
0.65,1.327885,3.668983
0.66,1.364759,3.743097
0.67,1.402377,3.818707
0.68,1.440755,3.895845
0.69,1.479908,3.974541
0.7,1.519852,4.054827
0.71,1.560603,4.136735
0.72,1.602177,4.220297
0.73,1.644591,4.305547
0.74,1.687862,4.392519
0.75,1.732007,4.481248
0.76,1.777043,4.571769
0.77,1.82299,4.664119
0.78,1.869864,4.758334
0.79,1.917685,4.854452
0.8,1.966473,4.952512
0.81,2.016245,5.052553
0.82,2.067023,5.154614
0.83,2.118827,5.258738
0.84,2.171678,5.364964
0.85,2.225596,5.473336
0.86,2.280603,5.583898
0.87,2.336721,5.696692
0.88,2.393972,5.811766
0.89,2.452381,5.929163
0.9,2.511969,6.048932
0.91,2.572761,6.171121
0.92,2.63478,6.295777
0.93,2.698053,6.422952
0.94,2.762604,6.552696
0.95,2.828458,6.68506
0.96,2.895643,6.820098
0.97,2.964185,6.957864
0.98,3.034112,7.098413
0.99,3.105451,7.241801
1,3.178231,7.388086
